apparel id,apparel name,type,apparel image
1,"Fiesta Restaurant Group, Inc.",video/mpeg,http://dummyimage.com/236x100.png/5fa2dd/ffffff
2,Deutsche Bank AG,application/msword,http://dummyimage.com/173x100.png/ff4444/ffffff
3,"Office Depot, Inc.",video/avi,http://dummyimage.com/129x100.png/dddddd/000000
4,"Value Line, Inc.",video/avi,http://dummyimage.com/204x100.png/5fa2dd/ffffff
5,"Marsh & McLennan Companies, Inc.",application/mspowerpoint,http://dummyimage.com/204x100.png/cc0000/ffffff
6,"Asta Funding, Inc.",application/msword,http://dummyimage.com/218x100.png/ff4444/ffffff
7,"Rush Enterprises, Inc.",application/vnd.ms-excel,http://dummyimage.com/246x100.png/ff4444/ffffff
8,"Home Depot, Inc. (The)",image/x-tiff,http://dummyimage.com/148x100.png/5fa2dd/ffffff
9,Huntington Bancshares Incorporated,application/x-mspowerpoint,http://dummyimage.com/219x100.png/cc0000/ffffff
10,BRT Apartments Corp.,application/x-troff-msvideo,http://dummyimage.com/229x100.png/ff4444/ffffff
11,"Aware, Inc.",video/x-mpeg,http://dummyimage.com/170x100.png/dddddd/000000
12,"Berkshire Hills Bancorp, Inc.",image/tiff,http://dummyimage.com/223x100.png/cc0000/ffffff
13,"First Cash, Inc.",video/quicktime,http://dummyimage.com/136x100.png/ff4444/ffffff
14,Sanmina Corporation,application/x-msexcel,http://dummyimage.com/159x100.png/5fa2dd/ffffff
15,"Builders FirstSource, Inc.",application/x-msexcel,http://dummyimage.com/230x100.png/ff4444/ffffff
16,First Internet Bancorp,application/mspowerpoint,http://dummyimage.com/120x100.png/5fa2dd/ffffff
17,BioMarin Pharmaceutical Inc.,application/x-excel,http://dummyimage.com/106x100.png/cc0000/ffffff
18,Barington/Hilco Acquisition Corp.,video/x-msvideo,http://dummyimage.com/235x100.png/5fa2dd/ffffff
19,"Centennial Resource Development, Inc.",video/avi,http://dummyimage.com/224x100.png/dddddd/000000
20,Methanex Corporation,application/x-troff-msvideo,http://dummyimage.com/171x100.png/cc0000/ffffff
21,"MarineMax, Inc.",application/powerpoint,http://dummyimage.com/184x100.png/dddddd/000000
22,Boston Omaha Corporation,image/x-tiff,http://dummyimage.com/212x100.png/cc0000/ffffff
23,Cognex Corporation,audio/x-mpeg-3,http://dummyimage.com/177x100.png/ff4444/ffffff
24,Pimco Global Stocksplus & Income Fund,application/x-mspowerpoint,http://dummyimage.com/209x100.png/ff4444/ffffff
25,"United Bancshares, Inc.",application/msword,http://dummyimage.com/200x100.png/cc0000/ffffff
26,Cathay General Bancorp,video/avi,http://dummyimage.com/246x100.png/cc0000/ffffff
27,Eaton Vance NextShares Trust,image/x-tiff,http://dummyimage.com/166x100.png/cc0000/ffffff
28,"Aldeyra Therapeutics, Inc.",video/avi,http://dummyimage.com/239x100.png/5fa2dd/ffffff
29,Atlanticus Holdings Corporation,application/x-troff-msvideo,http://dummyimage.com/241x100.png/ff4444/ffffff
30,"Dillard's, Inc.",application/x-msexcel,http://dummyimage.com/107x100.png/dddddd/000000
31,Approach Resources Inc.,image/png,http://dummyimage.com/144x100.png/ff4444/ffffff
32,"Dime Community Bancshares, Inc.",image/jpeg,http://dummyimage.com/139x100.png/ff4444/ffffff
33,"First Guaranty Bancshares, Inc.",audio/x-mpeg-3,http://dummyimage.com/247x100.png/ff4444/ffffff
34,CVD Equipment Corporation,video/mpeg,http://dummyimage.com/230x100.png/ff4444/ffffff
35,"Cohen & Steers Global Income Builder, Inc.",video/x-msvideo,http://dummyimage.com/122x100.png/cc0000/ffffff
36,RXi Pharmaceuticals Corporation,video/x-mpeg,http://dummyimage.com/173x100.png/cc0000/ffffff
37,"PDF Solutions, Inc.",image/tiff,http://dummyimage.com/176x100.png/ff4444/ffffff
38,First Trust Nasdaq Bank ETF,audio/x-mpeg-3,http://dummyimage.com/187x100.png/ff4444/ffffff
39,Vident Core U.S. Bond Strategy Fund,application/pdf,http://dummyimage.com/233x100.png/dddddd/000000
40,Vantage Energy Acquisition Corp.,application/x-troff-msvideo,http://dummyimage.com/111x100.png/cc0000/ffffff
41,"Guaranty Federal Bancshares, Inc.",application/mspowerpoint,http://dummyimage.com/216x100.png/cc0000/ffffff
42,WPCS International Incorporated,video/mpeg,http://dummyimage.com/115x100.png/dddddd/000000
43,Korn/Ferry International,video/avi,http://dummyimage.com/168x100.png/dddddd/000000
44,Webster Financial Corporation,audio/mpeg3,http://dummyimage.com/175x100.png/cc0000/ffffff
45,"Seabridge Gold, Inc.",text/plain,http://dummyimage.com/195x100.png/ff4444/ffffff
46,"Eleven Biotherapeutics, Inc.",application/x-excel,http://dummyimage.com/133x100.png/dddddd/000000
47,"United Fire Group, Inc",image/png,http://dummyimage.com/129x100.png/5fa2dd/ffffff
48,"SCYNEXIS, Inc.",application/excel,http://dummyimage.com/210x100.png/ff4444/ffffff
49,"Hyster-Yale Materials Handling, Inc.",video/mpeg,http://dummyimage.com/167x100.png/cc0000/ffffff
50,"Ubiquiti Networks, Inc.",image/pjpeg,http://dummyimage.com/116x100.png/cc0000/ffffff
51,EPR Properties,image/jpeg,http://dummyimage.com/192x100.png/dddddd/000000
52,The Organics ETF,application/vnd.ms-powerpoint,http://dummyimage.com/181x100.png/cc0000/ffffff
53,Amaya Inc.,application/vnd.ms-powerpoint,http://dummyimage.com/195x100.png/cc0000/ffffff
54,Taylor Morrison Home Corporation,text/plain,http://dummyimage.com/194x100.png/ff4444/ffffff
55,Ingredion Incorporated,video/quicktime,http://dummyimage.com/224x100.png/ff4444/ffffff
56,"AgroFresh Solutions, Inc.",text/plain,http://dummyimage.com/181x100.png/dddddd/000000
57,Fastenal Company,application/powerpoint,http://dummyimage.com/224x100.png/ff4444/ffffff
58,Stellar Acquisition III Inc.,image/x-tiff,http://dummyimage.com/184x100.png/cc0000/ffffff
59,"CareTrust REIT, Inc.",application/powerpoint,http://dummyimage.com/125x100.png/ff4444/ffffff
60,CNA Financial Corporation,image/gif,http://dummyimage.com/226x100.png/cc0000/ffffff
61,Cato Corporation (The),image/png,http://dummyimage.com/184x100.png/cc0000/ffffff
62,"RadNet, Inc.",image/jpeg,http://dummyimage.com/195x100.png/dddddd/000000
63,"Escalade, Incorporated",audio/x-mpeg-3,http://dummyimage.com/137x100.png/5fa2dd/ffffff
64,Vanguard Russell 3000 ETF,application/excel,http://dummyimage.com/245x100.png/5fa2dd/ffffff
65,Cimarex Energy Co,video/mpeg,http://dummyimage.com/171x100.png/5fa2dd/ffffff
66,"Skechers U.S.A., Inc.",image/x-tiff,http://dummyimage.com/145x100.png/dddddd/000000
67,"Spark Therapeutics, Inc.",image/jpeg,http://dummyimage.com/228x100.png/5fa2dd/ffffff
68,"Care.com, Inc.",application/x-troff-msvideo,http://dummyimage.com/213x100.png/cc0000/ffffff
69,Stifel Financial Corporation,image/tiff,http://dummyimage.com/133x100.png/5fa2dd/ffffff
70,"People's United Financial, Inc.",application/mspowerpoint,http://dummyimage.com/227x100.png/5fa2dd/ffffff
71,MutualFirst Financial Inc.,application/x-mspowerpoint,http://dummyimage.com/129x100.png/5fa2dd/ffffff
72,"Build-A-Bear Workshop, Inc.",video/x-msvideo,http://dummyimage.com/183x100.png/cc0000/ffffff
73,"MSC Industrial Direct Company, Inc.",application/x-mspowerpoint,http://dummyimage.com/121x100.png/dddddd/000000
74,HSBC Holdings plc,video/x-mpeg,http://dummyimage.com/209x100.png/5fa2dd/ffffff
75,CBX (Listing Market NYSE Networks AE,image/x-tiff,http://dummyimage.com/167x100.png/cc0000/ffffff
76,Origo Acquisition Corporation,application/x-mspowerpoint,http://dummyimage.com/122x100.png/cc0000/ffffff
77,Long Island Iced Tea Corp.,video/quicktime,http://dummyimage.com/122x100.png/ff4444/ffffff
78,Woori Bank,video/mpeg,http://dummyimage.com/200x100.png/cc0000/ffffff
79,"TCG BDC, Inc.",image/png,http://dummyimage.com/128x100.png/ff4444/ffffff
80,"FalconStor Software, Inc.",video/x-msvideo,http://dummyimage.com/143x100.png/ff4444/ffffff
81,Tiffany & Co.,video/mpeg,http://dummyimage.com/239x100.png/dddddd/000000
82,AmerisourceBergen Corporation (Holding Co),video/mpeg,http://dummyimage.com/156x100.png/dddddd/000000
83,"Selective Insurance Group, Inc.",application/x-excel,http://dummyimage.com/167x100.png/5fa2dd/ffffff
84,"New America High Income Fund, Inc. (The)",image/pjpeg,http://dummyimage.com/197x100.png/dddddd/000000
85,"Tallgrass Energy GP, LP",application/x-excel,http://dummyimage.com/128x100.png/ff4444/ffffff
86,GMS Inc.,application/vnd.ms-powerpoint,http://dummyimage.com/113x100.png/cc0000/ffffff
87,Genworth Financial Inc,application/excel,http://dummyimage.com/143x100.png/cc0000/ffffff
88,PowerShares DWA Technology Momenum Portfolio,video/x-msvideo,http://dummyimage.com/246x100.png/5fa2dd/ffffff
89,"Terra Nitrogen Company, L.P.",video/quicktime,http://dummyimage.com/239x100.png/ff4444/ffffff
90,"Flexsteel Industries, Inc.",video/mpeg,http://dummyimage.com/220x100.png/5fa2dd/ffffff
91,Triangle Capital Corporation,image/gif,http://dummyimage.com/112x100.png/dddddd/000000
92,"IDACORP, Inc.",application/pdf,http://dummyimage.com/172x100.png/cc0000/ffffff
93,Ita? CorpBanca,application/x-troff-msvideo,http://dummyimage.com/245x100.png/ff4444/ffffff
94,Entergy Texas Inc,application/x-msexcel,http://dummyimage.com/108x100.png/5fa2dd/ffffff
95,"Editas Medicine, Inc.",application/x-mspowerpoint,http://dummyimage.com/202x100.png/5fa2dd/ffffff
96,Iridium Communications Inc,image/x-tiff,http://dummyimage.com/213x100.png/dddddd/000000
97,"NextEra Energy, Inc.",image/jpeg,http://dummyimage.com/124x100.png/cc0000/ffffff
98,"Hawaiian Holdings, Inc.",application/x-mspowerpoint,http://dummyimage.com/199x100.png/ff4444/ffffff
99,Kayne Anderson MLP Investment Company,video/x-mpeg,http://dummyimage.com/159x100.png/dddddd/000000
100,Columbus McKinnon Corporation,application/x-excel,http://dummyimage.com/217x100.png/5fa2dd/ffffff
101,National Retail Properties,video/avi,http://dummyimage.com/232x100.png/dddddd/000000
102,Noble Corporation,application/vnd.ms-excel,http://dummyimage.com/155x100.png/ff4444/ffffff
103,VictoryShares International High Div Volatility Wtd ETF,application/x-troff-msvideo,http://dummyimage.com/157x100.png/ff4444/ffffff
104,Liberty Interactive Corporation,application/msword,http://dummyimage.com/188x100.png/dddddd/000000
105,"Carbo Ceramics, Inc.",image/tiff,http://dummyimage.com/114x100.png/ff4444/ffffff
106,"SunTrust Banks, Inc.",video/msvideo,http://dummyimage.com/219x100.png/5fa2dd/ffffff
107,"Plains All American Pipeline, L.P.",application/x-mspowerpoint,http://dummyimage.com/104x100.png/dddddd/000000
108,"Sky Solar Holdings, Ltd.",application/excel,http://dummyimage.com/236x100.png/cc0000/ffffff
109,Capstone Turbine Corporation,application/x-excel,http://dummyimage.com/136x100.png/5fa2dd/ffffff
110,"Motorcar Parts of America, Inc.",image/gif,http://dummyimage.com/223x100.png/dddddd/000000
111,"Apollo Global Management, LLC",audio/mpeg3,http://dummyimage.com/150x100.png/5fa2dd/ffffff
112,"Martin Marietta Materials, Inc.",application/vnd.ms-excel,http://dummyimage.com/216x100.png/5fa2dd/ffffff
113,Honeywell International Inc.,video/x-msvideo,http://dummyimage.com/164x100.png/5fa2dd/ffffff
114,"bluebird bio, Inc.",text/plain,http://dummyimage.com/151x100.png/dddddd/000000
115,Royal Bank Of Canada,application/mspowerpoint,http://dummyimage.com/198x100.png/cc0000/ffffff
116,Analogic Corporation,audio/x-mpeg-3,http://dummyimage.com/107x100.png/cc0000/ffffff
117,CBRE Clarion Global Real Estate Income Fund,application/pdf,http://dummyimage.com/106x100.png/cc0000/ffffff
118,"Cedar Fair, L.P.",application/powerpoint,http://dummyimage.com/104x100.png/5fa2dd/ffffff
119,"The Habit Restaurants, Inc.",application/vnd.ms-excel,http://dummyimage.com/158x100.png/ff4444/ffffff
120,"Applied Optoelectronics, Inc.",application/excel,http://dummyimage.com/122x100.png/dddddd/000000
121,Kellogg Company,audio/x-mpeg-3,http://dummyimage.com/148x100.png/dddddd/000000
122,"Insys Therapeutics, Inc.",application/vnd.ms-powerpoint,http://dummyimage.com/194x100.png/cc0000/ffffff
123,"AMAG Pharmaceuticals, Inc.",application/x-troff-msvideo,http://dummyimage.com/227x100.png/dddddd/000000
124,"Appliance Recycling Centers of America, Inc.",video/msvideo,http://dummyimage.com/116x100.png/5fa2dd/ffffff
125,Cabela's Inc,video/avi,http://dummyimage.com/138x100.png/cc0000/ffffff
126,Fortuna Silver Mines Inc.,image/jpeg,http://dummyimage.com/104x100.png/5fa2dd/ffffff
127,"Turkish Investment Fund, Inc. (The)",application/x-troff-msvideo,http://dummyimage.com/221x100.png/5fa2dd/ffffff
128,"Avid Technology, Inc.",video/avi,http://dummyimage.com/123x100.png/ff4444/ffffff
129,"BroadSoft, Inc.",audio/x-mpeg-3,http://dummyimage.com/196x100.png/dddddd/000000
130,Global X Social Media ETF,application/excel,http://dummyimage.com/155x100.png/dddddd/000000
131,"MaxPoint Interactive, Inc.",image/tiff,http://dummyimage.com/201x100.png/dddddd/000000
132,"New York Mortgage Trust, Inc.",video/x-mpeg,http://dummyimage.com/112x100.png/ff4444/ffffff
133,"Global Brass and Copper Holdings, Inc.",application/pdf,http://dummyimage.com/167x100.png/ff4444/ffffff
134,"Trupanion, Inc.",video/msvideo,http://dummyimage.com/218x100.png/ff4444/ffffff
135,Sundance Energy Australia Limited,application/pdf,http://dummyimage.com/105x100.png/5fa2dd/ffffff
136,Invesco Municipal Income Opportunities Trust,video/x-mpeg,http://dummyimage.com/209x100.png/cc0000/ffffff
137,Mosaic Company (The),video/mpeg,http://dummyimage.com/138x100.png/5fa2dd/ffffff
138,State Auto Financial Corporation,video/x-mpeg,http://dummyimage.com/108x100.png/dddddd/000000
139,Cummins Inc.,video/quicktime,http://dummyimage.com/173x100.png/dddddd/000000
140,"Harte-Hanks, Inc.",application/x-troff-msvideo,http://dummyimage.com/164x100.png/cc0000/ffffff
141,Southern Copper Corporation,application/x-troff-msvideo,http://dummyimage.com/135x100.png/dddddd/000000
142,PAVmed Inc.,application/excel,http://dummyimage.com/218x100.png/5fa2dd/ffffff
143,"TCW Strategic Income Fund, Inc.",text/plain,http://dummyimage.com/214x100.png/ff4444/ffffff
144,Southern California Edison Company,video/mpeg,http://dummyimage.com/119x100.png/cc0000/ffffff
145,Amec Plc Ord,video/mpeg,http://dummyimage.com/188x100.png/5fa2dd/ffffff
146,Integer Holdings Corporation,application/powerpoint,http://dummyimage.com/177x100.png/ff4444/ffffff
147,R1 RCM Inc.,image/gif,http://dummyimage.com/139x100.png/cc0000/ffffff
148,"Ecology and Environment, Inc.",application/x-mspowerpoint,http://dummyimage.com/203x100.png/cc0000/ffffff
149,Dollar General Corporation,application/excel,http://dummyimage.com/167x100.png/5fa2dd/ffffff
150,LiNiu Technology Group,text/plain,http://dummyimage.com/175x100.png/cc0000/ffffff
151,Total S.A.,application/msword,http://dummyimage.com/230x100.png/ff4444/ffffff
152,Gabelli NextShares Trust,application/pdf,http://dummyimage.com/148x100.png/ff4444/ffffff
153,Rice Energy Inc.,image/x-tiff,http://dummyimage.com/175x100.png/ff4444/ffffff
154,Progressive Corporation (The),audio/x-mpeg-3,http://dummyimage.com/234x100.png/5fa2dd/ffffff
155,"The Trade Desk, Inc.",application/vnd.ms-powerpoint,http://dummyimage.com/105x100.png/dddddd/000000
156,"Home Bancorp, Inc.",image/gif,http://dummyimage.com/126x100.png/ff4444/ffffff
157,Deutsch Bk Contingent Cap Tr V,image/tiff,http://dummyimage.com/239x100.png/5fa2dd/ffffff
158,"Buffalo Wild Wings, Inc.",application/powerpoint,http://dummyimage.com/150x100.png/dddddd/000000
159,Johnson Controls International plc,audio/x-mpeg-3,http://dummyimage.com/202x100.png/ff4444/ffffff
160,"Match Group, Inc.",application/x-troff-msvideo,http://dummyimage.com/235x100.png/dddddd/000000
161,Vaalco Energy Inc,video/msvideo,http://dummyimage.com/196x100.png/ff4444/ffffff
162,First Busey Corporation,image/x-tiff,http://dummyimage.com/193x100.png/ff4444/ffffff
163,"Astec Industries, Inc.",video/msvideo,http://dummyimage.com/212x100.png/5fa2dd/ffffff
164,Pattern Energy Group Inc.,application/x-mspowerpoint,http://dummyimage.com/236x100.png/dddddd/000000
165,"Blackrock MuniYield California Insured Fund, Inc.",application/pdf,http://dummyimage.com/188x100.png/5fa2dd/ffffff
166,"Agilysys, Inc.",video/x-msvideo,http://dummyimage.com/160x100.png/5fa2dd/ffffff
167,Optical Cable Corporation,application/msword,http://dummyimage.com/119x100.png/5fa2dd/ffffff
168,"Rentech, Inc.",image/png,http://dummyimage.com/132x100.png/cc0000/ffffff
169,NXT-ID Inc.,application/mspowerpoint,http://dummyimage.com/154x100.png/ff4444/ffffff
